,id,name,platform,cate,publish_date,contract
0,875,dice2.win,eth,casino,2020-06-09,"['0xD1CEeeefA68a6aF0A5f6046132D986066c7f9426', '0xD1CEeeeee83F8bCF3BEDad437202b6154E9F5405', '0xD1CEeeeee8aF2791fC928beFfB0FFaC3387850DE', '0xd1ceeeef70c61da45800bd81be3352160ad72f2a', '0xD1CEeee3ecFff60d9532C37c9d24f68cA0E96453']"
1,11604,luck100win,eth,casino,2020-06-09,"['0x1B5B5906306c96b842dc03105E3b38636A4EDa0b', '0x4C549990A7eF3FEA8784406c1EECc98bF4211fA5', '0xD224cA0c819e8E97ba0136B3b95ceFf503B79f53']"
2,11988,PoolTogether,eth,casino,2020-06-09,"['0x29fe7D60DdF151E5b52e5FAB4f1325da6b2bD958', '0xf330C417331f8e2d330e0Abc9E31Ec6056e29d08', '0xbb6365bf44c63971a948d95d80f77ba3e76489df', '0xb7896fce748396ecfc240f5a0d3cc92ca42d7d84']"
3,13024,MT6,eth,casino,2020-06-09,['0x705d456d7a99dfde4244e2670f4126bf02cbba32']
4,11720,Trust Dice,eth,casino,2020-06-09,['0xED0c84dD72f0D4f9721718efA627FD3967740BAe']
5,12441,Play Royal (ETH),eth,casino,2020-06-09,"['0xb3746D30F2A579a2efe7F2F6E8E06277a78054C1', '0xAfebb81C99f28bD83f00A3023736ce6AE12b0826']"
6,10714,TossCoin,eth,casino,2020-06-09,['0xfdF8de115951517d16FDaEdC088D2B67AED5b031']
7,12432,SportX,eth,casino,2020-06-09,['0x0efaB66d0C050519c734bC8B7034Ed68cb0F9323']
8,636,All For One - VfSE Lottery,eth,casino,2020-06-09,['0x4b675B8429224134c05d1D519Eb07b4448fEBbE9']
9,10399,Playtowin.io,eth,casino,2020-06-09,"['0x7777776dd38fCf2a446297305981497F201f85eF', '0x8a91277f3E044291BCf152FC33DE2b7A1565625E', '0x777777d1123591df7f68e053bc182de3cd4fa6de', '0x332f26029dddf3f22a64610edebf9405df685589', '0xA8aE5af0a8083BE09de7eE2A635C51dc57cA612F', '0x777777c3b5dde20e09fe40b37622ae2cd3b055b7']"
10,12847,Virtue Poker,eth,casino,2020-06-09,"['0xd8a5c1181c0e834f7d0f78257dbd4b72f8c3b6d3', '0x8879c51CFf6897D017913c76172e703E0765d089']"
11,12327,smartroulette.io,eth,casino,2020-06-09,"['0xcced5b8288086be8c38e23567e684c3740be4d48', '0xDfC328c19C8De45ac0117f836646378c10e0CdA3']"
12,783,CasinoFair,eth,casino,2020-06-09,"['0x509347488209f80dc1d97076591db92a023556ef', '0x87a3d34e694cf061cd98cdf1621ca8945679337d', '0x544e7805e2e893c2fab3c39c4db49e93db8097ef', '0x8f19f89675422fa420a56a3e20b2e8c8cb295c71', '0xd1b375d46072349ffc01ecb1b0e45c77b8ffd161', '0xe2b9960bdb3202a440ef640d355bc73b714ed82e', '0xfa415c918525501dd4ced89dc616fbb6cdc6b74c', '0x3d2611440e92ce6be5f59aba7d1abfb5514dd919', '0xd183ec9117a8363429b08ae702805538e2918563']"
13,24,Edgeless,eth,casino,2020-06-09,"['0x15F08079310E2c9DacaA73c0e450368185724aEa', '0x91f273b7a28f5169fd7b7995a54b767ca797bc63', '0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c', '0x7Cf9d2dec6ec1147339237b5155Ce35820540dF8', '0xe93fc171cc8f5422efa2362509f9997d4148c04d', '0x0F81e92E206316E9e6d4D9C57F3921Ee60817900', '0xfc44094c53832e8a3cea0e97600950c11f14fe5f', '0x4202B62990c763860FFaF5E4eE935b1459890E25']"
14,12324,Paradise Slots,eth,casino,2020-06-09,['0x5BC8A10Ff788829E465088aE69e99121c2a3E46b']
15,10235,DSlot,eth,casino,2020-06-09,['0x17D0582dEe50A5401BB8F65ac29ec2da50c670Ea']
16,11730,Crypto Lottery,eth,casino,2020-06-09,['0xb898CEaE9B41fF87b2bC22a41E63755604fE4771']
17,11914,EtherWin X300,eth,casino,2020-06-09,['0xde725d5d8ba8d45a66e2196aa4423f26505c39ac']
18,12411,Native Gaming,eth,casino,2020-06-09,"['0x8196cdd6e17991b22816bb9cdD31FAcEeCf2F816', '0xdb9953028eFB8b659C255B5B676b912c57f37e4b', '0x3a2732Aa4A876f2dadeE90E15467d2e5ecd18160']"
19,11909,Dicether,eth,casino,2020-06-09,['0xaEc1F783B29Aab2727d7C374Aa55483fe299feFa']
20,13020,SimpleLotto,eth,casino,2020-06-09,"['0xaD42343Cec1B4e8c20b23d3c50A0c0Cb52e1cD6E', '0x73A195AbE0937baca89B0672D1Ab69AA0CCF1DDD', '0x913fA85293142a474dE06EBF8E16f1f404b9B431']"
21,12211,Okdice,eth,casino,2020-06-09,['0xBF96042D61937B1686B81557c3A92806F1727ECF']
22,12729,Space Lottery,eth,casino,2020-06-09,['0x6c5f332ee52ea5e46a771a10c4a76fb89e29e218']
