,id,name,platform,cate,publish_date,contract
0,12695,Brave Frontier Heroes,eth,game,2020-05-11,"['0x64f65a21f8a20347ae3d5ef11798af061b8dbb22', '0x9F90324B0da6ADEE99aeBB467Faf20278767D76a', '0xc03844f07f86ad1d90a1c4a2a8204dcf00f3a991', '0xa5409ec958c83c3f309868babaca7c86dcb077c1', '0x9503DE24f4210dA79c5e5BCCD198B2727387a519', '0xAEBE641fb55e45488511Ef7d9446E8C7C3d9Ad28', '0x6fa769eed284a94a73c15299e1d3719b29ae2f52', '0xd39F16BD03a506410d66BBbf6DCCbB08F445197E', '0x51C36baAa8b0e6CF45e2E1A77E84E3c0D1713F97', '0xAa06e5c117dbe8bC52dBaa18AaF447eDA556B13c', '0xd868711BD9a2C6F1548F5f4737f71DA67d821090', '0x335944b36B02401FB35Ca3Aa64cC9468e5EB3742', '0xadd4f1280f509f7fd6d46a82a475016b1026b65f', '0x6dff805b67a16603e9cd7fb1ed1a7e4bb1cd8140', '0x604652C6a6E606669BDccDE15519644B869A97a9', '0xe02367242b348caca4bf39fd1249b212a88adcec', '0xBCfF67b402F82b65c7554b69304B18c91830F562', '0xA3833d8bF7f7B7166c07F3309f70459477a1A746', '0x97390A8fa25b2E69A34D50D289e7c0eb87B1c5c8']"
1,249,Blockchain Cuties (ETH),eth,game,2020-05-11,"['0x6d3BB0258aC173468604384A40a1df8697Ef6761', '0x2af0f9b7d975d11507deba15405c846c5f1fb152', '0xD4dFF41f22eBeb96dd9Af679CE33606dA31F01Fd', '0xbd047bfd52545b946264f00ebfbb01091412c033', '0x711ac79630b93a65f4248f2da775ebb96ef2981d', '0x3D2BB0f9Fa7133799c0FA8E9B7F8CC83d0e4086d', '0xaa4250216f77a79fd9983642a987f708f1fe7504', '0x7d3e5eff86d25e9618512d871f4533c277361cc1', '0x5a6fc364c0232299fcb7c533b9964ae8d41d7b72', '0x20c81ae5a7cf1c5a3f8293313692474f8d6b808b', '0x476179f1d00109415059e8236b5e605084ec485a', '0xE4889Fa16BA797A8a51196eC9389e4764576dEae', '0x19FDd6EECcdF4BC30F363f63Af44981C1F6A75C4', '0xCa891ae246e7177aad7b50dFB1b5E9993A63EaFe', '0x047686fB287e7263A23873dEa66b4501015a2226', '0x90818f3cfD5a1692183785dAf1Cd20c95a86bA3e', '0x9fa668f5e5572ea04db6eff1a62eb39ff7fb809e', '0x338ffc2cafc121bc83bf7a610ccc136ba7247b64', '0x312cb5Dfc8e5414422568D017B475A40A5fC4FAf', '0x11372a7418d58b162d1120e9e65e5aa74936ed71', '0x4BcE8e7d095e2D161d2812a8742855708bb33843', '0xafa1ae00ab5aabe9d3f028c0ead4f8e10114408d', '0x55e851ecb4a8ee090f7b097ba1804db94d90175e', '0x2e5f08B76F0886D34E71CA2d7f8893B3dB18AD3c', '0x2ee622399a2cc4e19e588a52ea1340c2cf5c1f1e', '0xed3c00a6c0da9a64c307719da5ce629c6ee66dfc', '0x3F80D082998a23ed4EDeE025b6DF7C4F3a1C7958', '0xa2a295ae156bcd0023783cc2666ccbb0ca218d9f', '0x8dfa8886a5f94699c92f5327895641d4cfe6a417', '0xb35de956ee39898f08b95a4407aa6ff412db8e45', '0x9de9563E27c6aAfCF907baceE733F83d50168959', '0xc53a772d50974f14aed723eeae72fe736f41a074', '0x245aba0b9188e3a00103b7eeee366fe5dc094243', '0x33914fa445969ded631bf4c33d8882c225386620', '0x896421e9c5Cc2C5a66019Dba2457450b88A8e11b', '0xd37f29d1cd9f379b3f9363453725ed971190aeca', '0x4bcba674eec03d47a24f607518eb59e400dd2acf', '0xb26ff0cacf79603f306ca5dc215133a25731d70f', '0x82cbd34d49761fcb5bd5915f82c6c7462131f57a', '0xeE7477b1C42D173c0791cECF2592F6A8A4c16b0a', '0xd73be539d6b2076bab83ca6ba62dfe189abc6bbe']"
2,12329,Knight Story,eth,game,2020-05-11,"['0xba7f66EE97f052A5EFae51BA5E7689203Db3daE4', '0x3113Bf50Ee2773cD7EecBb48d1F6a197e01C294b', '0xcB8149cCB561C94DfD648a0e8494ea316E5815C1', '0x803a4239218d3bf52f36e897e22a2ceab2d7898d', '0x2FB5d7DDa4f1F20F974a0fdd547C38674E8D940c']"
3,614,Mega Crypto Polis (ETH),eth,game,2020-05-11,"['0x79f8cd0E10Cbc82D663e6d8C306165F6785297F9', '0x5584Ebc9FAB3177166451B40631990063987ed2C', '0x14580a944246339d9151ab4e22458b3ab926438b', '0x526AFE8e3A1Ac3E9051Daf3F3E11Eea1974bF8e8', '0x2594d80da5f2e4f742D1E479eb9408aAD132D0Bd', '0x8c60D767DaF8cbc8E9a4899fB2eB0Bbf9bBf8C20', '0x8429ac14f3D9D1022634A0F52DEa8f460C760db6', '0xD12cbD1D1F4feeF9b2F8F7617EE08839DCbb44ec', '0x1f907c512af34f5f5697797a66F08F29e00B35a1', '0x79048730d53691268249FC0275F70af9046c3134', '0xE694010C4F1FCd35ebc04ceB60F847cAaF2cD6F2', '0x57DD1068C7971832b80fB7D7A76b92bf490d3991', '0x98Ff4553A3dCBF5e4Ff8b5d4CC6fb763b6F20174', '0xC20d22035Ac33D2cC00E65C9da158fFb7E66e212', '0x322B199F1D5329868AE4c310B28881Ec64ac1c46', '0x53f06FDb651D7854615C9E787cE8793B33FDb354', '0x285203097548b0a6e424b88eb7258beb95316ed6', '0xa432904D6b06086a9ed3Cf865120e8DFd95Fb6De', '0x778cC248CdDDFd926bfBa49850098eaC16B0D12a', '0x0e8c9E5E670ea48Fd46Ce41246049e3Ba5c54085', '0x1bb9C8fb07275d930B409F6F47792a06bAf620D4', '0xE15e9c0bf6B6B29d3b9e1c921AB2CB09C2194463', '0xD0b4bE3637ACE43108d6efBd6EA8dc1Ac6417e6D', '0x657A5cBFE69146979D7e9bCC2FF8521A55be357D', '0x990cD466Bc4875FC0A87741372A716CC7fe21125', '0x0eFC7150b7bF98879Bdfde68137110164e61d0eC', '0xce269E78C79A2ac66148225fD2939D322F1748d9', '0xF06059F01F6f08a603c939359a0A1186F7687685', '0x8C8Bfeb202f7A0a57f7ff7ca4f4a4150d9a564e8', '0x52508B1cd8CDf6e79D846aF0aed43D8e126493B3', '0x7419F79a29187468fd6ABb24f022fEA7EbcEd22b', '0x10C52BEc3910EfaBFe6d69444b04d690E9b7834B', '0xB29ba062AE71eb4f26fc00e071585907e176951B', '0xd865f7cC808857875d966CF6C034b1029Be5a18A', '0x77598616174a411AE9A1e197640903FAAb9Ac1ae', '0x8fDDC81DFEbd4263BE5266Fed3a079598dfCe870', '0x2c2391f793f4f81475d87fffe366458ce5380a13', '0x56F123785b54978C6c0B117F15d3ee69eB9bf6c8', '0x845E238FA24ccee6A59482D827C60Df90EF06195', '0x8AEC2951a4368d5A30a17Bf111Cfae3F9eE403dA', '0x67847DD5F105CfC93bAf8c33Cd153F15D6010747', '0x2B9e44D466A9289DA3aB23b11D17BF9140937c0e', '0xFa36adA2E5835bA299b1fE2953E5D2Dd2E550790', '0x537139155679DBb553767187D60F89bA2610Aa7C', '0xb3a55b726fC34AbBf4aAE99f4C5285Df5cc1537B']"
4,517,Axie Infinity,eth,game,2020-05-11,"['0x60dbf8e1cac4e8d318a2c655d3136f9343ee386a', '0xd6115822be14782310b00557c52d28257a952be3', '0x37236CD05b34Cc79d3715AF2383E96dd7443dCF1', '0x436fB447a25D90965B6311e931682f7279D03226', '0x7a11462A2adAed5571b91e34a127E4cbF51b152c', '0x10e304a53351b272dc415ad049ad06565ebdfe34', '0x99ff9f4257D5b6aF1400C994174EbB56336BB79F', '0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d', '0x3d5be9a472d6b5c8d45b4b3a3bffb80e0c52ef15', '0x8138df138b415a6f85f09a0995fec0ce3b454b5d', '0x60ce035dc589c3fd185b224a7ca03c598948973b', '0x71FfC95Ca3BcEbF26024f689F40006182916167f', '0xd7af30e9066Fd3B267Fe8b1c3e88192006d43486', '0x020f9e661e512132890d259dc363ed084cf4e5a6', '0x9b1d9c45d9da03997d7850b4c90285c538d77233', '0x425372c0ac9D559a186A08A3854E0ddEA1a00d5C', '0xEBa02cfC36C01ACbE10F6bcb909B76749E54956a', '0xf4985070ce32b6b1994329df787d1acc9a2dd9e2', '0xae8e74a21c25c22112749f7a9cd600d4b5cb2191', '0x01AAc5236Ad205ebBe4F6819bC64eF5BeF40b71c', '0x0c7cF86188632e16AF00415214155950684466A8', '0xb28a3dd24036151c819c6d401f7a222d9aa3671b', '0xf429b7270f7078d5561789c15d301692e32b1e48', '0x92bF969865c80EDa082FD5D8b4E28da4d58e1C3a', '0xf78dbc37a67018db6f823ec5090d7eedd5bab6fd', '0x717ea56208b459ebeedb95c2cceee00b539c1205', '0x73d7b530d181ef957525c6fbe2ab8f28bf4f81cf', '0x66536a95cc83ee672da58b6d3e57f7582184d5df', '0x2299a91cc0bffd8c7f71349da8ab03527b79724f']"
5,11042,CryptoDozer,eth,game,2020-05-11,"['0x5f5b176553e51171826D1A62e540bC30422C7717', '0x0f4Fa8CA31CBF304c47A12312d853572c2E110eb', '0xa506758544a71943b5e8728d2DF8EC9E72473a9A', '0x32888773b48c74B04D65763Aa3B3ab2bc9122e6E', '0xF8DeCD5be075AfbEa3D8200292EF71bB05Fa7e5b', '0x5fCCE8Ab5500ed68fF5d6d75aF1071195215D97E', '0xBd13e53255eF917DA7557db1B7D2d5C38a2EFe24', '0x2b796E2af6C40C0815405F6414B6D7D5060ba91C', '0xB06Ece7B0D5399eA0C381985f69585FDC355C5E4', '0x96Df1093D8CDab5D008aA009ed304D5E6F61294c', '0xB447030C916bA07a5a4AA50a379259E387c48182']"
6,3,CryptoKitties,eth,game,2020-05-11,"['0xc7af99fe5513eb6710e6d5f44f9989da40f27f26', '0x06012c8cf97bead5deae237070f9587f8e7a266d', '0xb1690c08e213a35ed9bab7b318de14420fb57d8c', '0x57831A0C76Ba6b4FDcbadd6cb48cB26e8fc15e93', '0x09fE5f0236F0Ea5D930197DCE254d77B04128075']"
7,11789,SuperPlayer,eth,game,2020-05-11,"['0xaaf592245ee1f5c2f00cd71f5f1d90eb390a096a', '0x33bd322c845ebd7611af5f78eb450edf8f913768', '0x0dfe79ab44f8f194f0475d9e78e6ef80935e173f', '0x3cdC4e8E7BDF3CeB096D7c0E27eD824e5AfC97aB', '0x737290dc60f7079123f96a59ba1c48188a94a108', '0xE98cEAca54a44B197F7248DD96eEBade1cF7f399', '0xa664277da1833af9a2f4b2b21b9de77aabc85c5e', '0xdc825aee6264edc43fa455dc66644138f7ce1ecd']"
8,12081,Contract Servant -Card Game-,eth,game,2020-05-11,"['0xCD36046FE3f6f64FE9a4DDe15c16Bc561d76E723', '0xae1E3E7C920F7ED0F850701988059Dc209d60257', '0xF915bbFBB6C097DC327e64eEc55E9eF4D110d627']"
9,1127,My Crypto Heroes,eth,game,2020-05-11,"['0xAdcD61c78f052cF38ab9E67c353deC1DA14E04B3', '0x8D00BBf3620950ccd660EF7B48F24951ECB3A176', '0xa30CBce69f520bF2A34c5C15193B7f5AfE427A26', '0xfD0174784EbCe943bdb8832Ecdea9Fea30e7C7A9', '0x4ae0Ede482F825FB9CcCCE8F0FE089f0379EAa2A', '0xEE6BD04C6164D7F0Fa1cb03277C855639D99A7F6', '0x273f7F8E6489682Df756151F5525576E322d51A3', '0x97D99Db7a938Ad4f6dD8D607dEB2083f1B36db0B', '0x46fc7B42F4522BFbD8b4565130aaED1e407D9957', '0x5e07B6F1B98a11F7e04E7Ffa8707b63F1c177753', '0x4B9F5347c489D9EE91787B7e9f678d354324878F', '0x88a386a12de4840160c4f16804be2a7dd1a30307', '0x75A640661B78021E4b1A58577E4831C7eDB571AF', '0x9a7956DFf83d5E94E8B4E9C6bbd7a40a9C89EBF7', '0xEb0860422043a0B8541356A7B6F671CBa9e8F85a', '0xA1D2c7E6DE2fA512f1FdF486Ca17ab79b4DC5d01', '0xc045c0bd4a26160a85039dbaf9c1ab4cd93249d3', '0x4A627B324189014fA757eD7cc730b180879232D7', '0x138A35eE20E40f019e7e7c00386ab2Ef42d66d1e', '0x617913dd43dbdf4236b85ec7bdf9adfd7e35b340', '0xdEe34Cd48D77183B3E70F4f9Ea2718c89bFeFeB4', '0x185b257AA51Fdc45176cF1FfaC6a0bFB5cF28afD', '0xdceaf1652a131F32a821468Dc03A92df0edd86Ea', '0x211b3c1f7893685e395553da61cf32c10764c23d', '0x946048A75Af11C300A274344887eC39452218B3d', '0x20E94588391dB2Dce6570E700474Fb6702942720', '0x7a2aB08612bd07c8BF661883e21240F49B58E944']"
