,address,debug,description,name,function,lineno,title,type
0,595,"calldata_Blockgame_32 + 4: 0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc
calldata_Blockgame_0: 0x657a9c500000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `_function_0x0657a9c5`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,_function_0x0657a9c5,162,Integer Overflow ,Warning
1,607,"calldata_Blockgame_4 + calldata_Blockgame_32 + 4: 0x800000000000000000000000000000000000000000000000000000000000000
calldata_Blockgame_0: 0x657a9c500000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `_function_0x0657a9c5`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,_function_0x0657a9c5,162,Integer Overflow ,Warning
2,610,"calldata_Blockgame_4 + calldata_Blockgame_32 + 4: 0x7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_Blockgame_0: 0x657a9c500000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `_function_0x0657a9c5`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,_function_0x0657a9c5,162,Integer Overflow ,Warning
3,616,"calldata_Blockgame_4 + calldata_Blockgame_32 + 4: 0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffb
calldata_Blockgame_0: 0x657a9c500000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `_function_0x0657a9c5`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,_function_0x0657a9c5,162,Integer Overflow ,Warning
4,1231,"storage_9 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc
storage_5 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe
calldata_Blockgame_4: 0x0
storage_14: 0x1
calldata_Blockgame_0: 0x3efb537e00000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
storage_6 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
callvalue: 0x0
","A possible integer overflow exists in the function `getPastGameResults(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,getPastGameResults(uint256),309,Integer Overflow ,Warning
5,1297,"storage_9 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x8000000000000000000000000000000000000000000000000000000000000000
mem_128 +
32 +
32*
storage_9 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x800000000000000000000000000000000000000000000000000000000000000
calldata_Blockgame_4: 0x0
storage_14: 0x1
calldata_Blockgame_0: 0x3efb537e00000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
storage_6 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
storage_5 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
callvalue: 0x0
","A possible integer overflow exists in the function `getPastGameResults(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,getPastGameResults(uint256),309,Integer Overflow ,Warning
6,1363,"mem_160 +
32*
storage_9 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4 +
32 +
32*
storage_5 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x800000000000000000000000000000000000000000000000000000000000000
mem_128 +
32 +
32*
storage_9 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
calldata_Blockgame_4: 0x0
storage_14: 0x1
calldata_Blockgame_0: 0x3efb537e00000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
storage_6 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
storage_5 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
storage_9 +
84800337471693920904250232874319843718400766719524250287777680170677855896573 +
12*calldata_Blockgame_4: 0x0
callvalue: 0x0
","A possible integer overflow exists in the function `getPastGameResults(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,getPastGameResults(uint256),309,Integer Overflow ,Warning
7,1674,"calldata_Blockgame_4: 0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc
calldata_Blockgame_0: 0x5c77582f00000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `_function_0x5c77582f`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,_function_0x5c77582f,77,Integer Overflow ,Warning
8,4372,"The exception is triggered under the following conditions:

calldata_Blockgame_4 + calldata_Blockgame_32 + 4: 0x3
calldata_Blockgame_cpy: 0x0
keccac_8_+_keccac_calldata_Blockgame_4: 0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffd
storage_11 + keccac_calldata_Blockgame_4: 0x0
storage_8 + keccac_calldata_Blockgame_4: 0x3
storage_4: 0x0
caller: 0x0
calldata_Blockgame_0: 0x657a9c500000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Blockgame-0.,_function_0x0657a9c5,167,Exception state,Informational
9,4455,"storage_9 + keccac_calldata_Blockgame_4: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_Blockgame_4 + calldata_Blockgame_32 + 4: 0x3
calldata_Blockgame_cpy: 0x0
keccac_8_+_keccac_calldata_Blockgame_4: 0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffd
storage_11 + keccac_calldata_Blockgame_4: 0x1
storage_8 + keccac_calldata_Blockgame_4: 0x3
storage_4: 0x0
caller: 0x0
calldata_Blockgame_0: 0x657a9c500000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `_function_0x0657a9c5`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Blockgame-0.,_function_0x0657a9c5,1,Integer Overflow ,Warning
10,4865,"The exception is triggered under the following conditions:

storage_3 + keccac_calldata_Blockgame_4: 0x0
timestamp: 0x1
storage_4: 0x0
caller: 0x0
calldata_Blockgame_0: 0x213f9ad400000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
storage_5 + keccac_calldata_Blockgame_4: 0x0
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Blockgame-0.,generateWinners(uint256),185,Exception state,Informational
11,4917,"The exception is triggered under the following conditions:

storage_5 + keccac_calldata_Blockgame_4: 0x1
storage_3 + keccac_calldata_Blockgame_4: 0x0
timestamp: 0x1
storage_4: 0x0
caller: 0x0
calldata_Blockgame_0: 0x213f9ad400000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Blockgame-0.,generateWinners(uint256),189,Exception state,Informational
12,5220,"The exception is triggered under the following conditions:

storage_5 + keccac_calldata_Blockgame_4: 0xfffffffeffffffffffffffffffffffffffffffffffffffffffffffffffffffff
storage_3 + keccac_calldata_Blockgame_4: 0x0
storage_keccac_5_+_keccac_calldata_Blockgame_4 + 0: 0x0
storage_keccac_5_+_keccac_calldata_Blockgame_4 + 1: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
timestamp: 0x1
storage_4: 0x0
caller: 0x0
calldata_Blockgame_0: 0x213f9ad400000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
storage_8 + keccac_calldata_Blockgame_4: 0x0
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Blockgame-0.,generateWinners(uint256),207,Exception state,Informational
13,5243,"The exception is triggered under the following conditions:

storage_5 + keccac_calldata_Blockgame_4: 0xfffffffffffbfffffffffffffff7ffffffffffffffffffffffffffffffffffff
storage_3 + keccac_calldata_Blockgame_4: 0x0
storage_keccac_8_+_keccac_calldata_Blockgame_4 + 0: 0x0
storage_11 + keccac_calldata_Blockgame_4: 0x0
storage_8 + keccac_calldata_Blockgame_4: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
storage_keccac_5_+_keccac_calldata_Blockgame_4 + 0: 0x0
storage_keccac_5_+_keccac_calldata_Blockgame_4 + 1: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
timestamp: 0x1
storage_4: 0x0
caller: 0x0
calldata_Blockgame_0: 0x213f9ad400000000000000000000000000000000000000000000000000000000
calldatasize_Blockgame: 0x4
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Blockgame-0.,generateWinners(uint256),205,Exception state,Informational
