,address,debug,description,name,function,lineno,title,type
0,2683,,This contract executes a message call to to another contract. Make sure that the called contract is trusted and does not execute user-supplied code.,Ethermon-12.,"mintMonster(uint32,address,string)",165,Message call to external contract,Informational
1,2683,,"Multiple sends exist in one transaction, try to isolate each external call into its own transaction. As external calls can fail accidentally or deliberately.
Consecutive calls: 
Call at address: 2970
",Ethermon-12.,"mintMonster(uint32,address,string)",165,Multiple Calls,Information
2,2683,,"A possible transaction order independence vulnerability exists in function mintMonster(uint32,address,string). The value or direction of the call statement is determined from a tainted storage location",Ethermon-12.,"mintMonster(uint32,address,string)",165,Transaction order dependence,Warning
3,2970,,This contract executes a message call to to another contract. Make sure that the called contract is trusted and does not execute user-supplied code.,Ethermon-12.,"mintMonster(uint32,address,string)",169,Message call to external contract,Informational
4,2970,,"A possible transaction order independence vulnerability exists in function mintMonster(uint32,address,string). The value or direction of the call statement is determined from a tainted storage location",Ethermon-12.,"mintMonster(uint32,address,string)",169,Transaction order dependence,Warning
5,3873,,This contract executes a message call to to another contract. Make sure that the called contract is trusted and does not execute user-supplied code.,Ethermon-12.,"catchMonsterNFT(uint32,string)",224,Message call to external contract,Informational
6,3873,,"Multiple sends exist in one transaction, try to isolate each external call into its own transaction. As external calls can fail accidentally or deliberately.
Consecutive calls: 
Call at address: 4374
",Ethermon-12.,"catchMonsterNFT(uint32,string)",224,Multiple Calls,Information
7,3873,,"A possible transaction order independence vulnerability exists in function catchMonsterNFT(uint32,string). The value or direction of the call statement is determined from a tainted storage location",Ethermon-12.,"catchMonsterNFT(uint32,string)",224,Transaction order dependence,Warning
8,4374,,This contract executes a message call to to another contract. Make sure that the called contract is trusted and does not execute user-supplied code.,Ethermon-12.,"catchMonsterNFT(uint32,string)",234,Message call to external contract,Informational
9,7178,,This contract executes a message call to to another contract. Make sure that the called contract is trusted and does not execute user-supplied code.,Ethermon-12.,burnMonster(uint64),183,Message call to external contract,Informational
10,7178,,A possible transaction order independence vulnerability exists in function burnMonster(uint64). The value or direction of the call statement is determined from a tainted storage location,Ethermon-12.,burnMonster(uint64),183,Transaction order dependence,Warning
11,8253,,This contract executes a message call to to another contract. Make sure that the called contract is trusted and does not execute user-supplied code.,Ethermon-12.,getMonsterClassBasic(uint32),198,Message call to external contract,Informational
12,8253,,A possible transaction order independence vulnerability exists in function getMonsterClassBasic(uint32). The value or direction of the call statement is determined from a tainted storage location,Ethermon-12.,getMonsterClassBasic(uint32),198,Transaction order dependence,Warning
13,250,"calldata_TrustedContractControl_4: 0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc
calldata_TrustedContractControl_0: 0x8c76b4b700000000000000000000000000000000000000000000000000000000
calldatasize_TrustedContractControl: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `addTrustedContracts(address[])`.
The addition or multiplication may result in a value higher than the maximum representable integer.",CryptoGirl-17.,addTrustedContracts(address[]),109,Integer Overflow ,Warning
