,address,debug,description,name,function,lineno,title,type
0,4087,"storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
calldata_StandardToken_4: 0xa8795cd3fffffffffffffffffffffffffffffffffffffffffffffffffffffffe
calldata_StandardToken_32 + 4: 0x57f25cd000000000000000000000000000000000000000000000000000000000
calldata_StandardToken_0: 0xd73dd62300000000000000000000000000000000000000000000000000000000
calldatasize_StandardToken: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `increaseApproval(address,uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",MagicX-0.,"increaseApproval(address,uint256)",27,Integer Overflow ,Warning
1,4100,"The exception is triggered under the following conditions:

storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
calldata_StandardToken_4: 0x1
calldata_StandardToken_32 + 4: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_StandardToken_0: 0xd73dd62300000000000000000000000000000000000000000000000000000000
calldatasize_StandardToken: 0x4
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",MagicX-0.,"increaseApproval(address,uint256)",28,Exception state,Informational
2,714,"storage_87903029871075914254377627908054574944891091886930582284385770809450030037085: 0x800000000000000000000000000000000000000000000000000000000000001
calldata_SmartInvestments_4: 0x0
storage_87903029871075914254377627908054574944891091886930582284385770809450030037084: 0x0
storage_87903029871075914254377627908054574944891091886930582284385770809450030037083: 0x0
storage_3: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_SmartInvestments_0: 0x1726d2c500000000000000000000000000000000000000000000000000000000
calldatasize_SmartInvestments: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `getRefPercents(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Smart_Investments-0.,getRefPercents(uint256),133,Integer Overflow ,Warning
3,2610,"The exception is triggered under the following conditions:

storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller: 0x20000000000
storage_7: 0x20000000000
callvalue: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldatasize_SmartInvestments: 0x3
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Smart_Investments-0.,fallback,294,Exception state,Informational
4,2662,"storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller: 0x400000000000000000000000000000000
callvalue: 0xaa235ea45225d6dce63d66615aac18002115454a7df4472b057dd6a6fbd46f66
storage_75276140696391174450305814049576319106646922510300487059720162673006384432776 +
7*
storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller +
4: 0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffb
storage_1 +
75276140696391174450305814049576319106646922510300487059720162673006384432776 +
7*
storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller: 0xabb9cf361ad512052dd4a1500aad1cfc5e9a31723135973f797906c4c2c17772
storage_75276140696391174450305814049576319106646922510300487059720162673006384432776 +
7*
storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller +
1: 0x0
storage_62514009886607029107290561805838585334079798074568712924583230797734656856475: 0x1
storage_4: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
storage_7: 0x400000000000000000000000000000001
calldatasize_SmartInvestments: 0x3
","A possible integer overflow exists in the function `fallback`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Smart_Investments-0.,fallback,301,Integer Overflow ,Warning
5,2675,"storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller: 0x400000000000000000000000000000000
callvalue: 0xaa235ea45225d6dce63d66615aac18002115454a7df4472b057dd6a6fbd46f66
storage_75276140696391174450305814049576319106646922510300487059720162673006384432776 +
7*
storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller +
4: 0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffb
storage_5: 0xabb9cf361ad512052dd4a1500aad1cfc5e9a31723135973f797906c4c2c17772
storage_75276140696391174450305814049576319106646922510300487059720162673006384432776 +
7*
storage_keccac_1461501637330902918203684832716283019655932542975_&
1461501637330902918203684832716283019655932542975_&
caller +
1: 0x0
storage_62514009886607029107290561805838585334079798074568712924583230797734656856475: 0x1
storage_4: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
storage_7: 0x400000000000000000000000000000001
calldatasize_SmartInvestments: 0x3
","A possible integer overflow exists in the function `fallback`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Smart_Investments-0.,fallback,301,Integer Overflow ,Warning
6,3402,"The exception is triggered under the following conditions:

calldata_SmartInvestments_0: 0x1726d2c500000000000000000000000000000000000000000000000000000000
calldatasize_SmartInvestments: 0x4
storage_3: 0x0
callvalue: 0x0
","A reachable exception (opcode 0xfe) has been detected. This can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. This is acceptable in most situations. Note however that `assert()` should only be used to check invariants. Use `require()` for regular input checking. ",Smart_Investments-0.,getRefPercents(uint256),138,Exception state,Informational
7,3460,"storage_87903029871075914254377627908054574944891091886930582284385770809450030037085: 0x800000000000000000000000000000000000000000000000000000000000000
storage_3: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_SmartInvestments_0: 0x1726d2c500000000000000000000000000000000000000000000000000000000
calldatasize_SmartInvestments: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `getRefPercents(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Smart_Investments-0.,getRefPercents(uint256),135,Integer Overflow ,Warning
8,3463,"storage_87903029871075914254377627908054574944891091886930582284385770809450030037085: 0x7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
storage_3: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_SmartInvestments_0: 0x1726d2c500000000000000000000000000000000000000000000000000000000
calldatasize_SmartInvestments: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `getRefPercents(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Smart_Investments-0.,getRefPercents(uint256),135,Integer Overflow ,Warning
9,3469,"storage_87903029871075914254377627908054574944891091886930582284385770809450030037085: 0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff6
storage_3: 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
calldata_SmartInvestments_0: 0x1726d2c500000000000000000000000000000000000000000000000000000000
calldatasize_SmartInvestments: 0x4
callvalue: 0x0
","A possible integer overflow exists in the function `getRefPercents(uint256)`.
The addition or multiplication may result in a value higher than the maximum representable integer.",Smart_Investments-0.,getRefPercents(uint256),135,Integer Overflow ,Warning
